text,label
reset my password is done. Best regards.,Safe
Just wanted to reset my password? Looking forward to it.,Safe
Can you confirm the meeting? Best regards.,Safe
schedule a call is done. Thank you.,Safe
You are scammers! We intend to contact the authorities.,High Risk
Just wanted to schedule a call? Looking forward to it.,Safe
schedule a call is done. Thank you.,Safe
This is illegal. contact the authorities!,High Risk
update the ticket is done. Thank you.,Safe
Your service is defective. where is my money?.,Medium Risk
The product is late and I am very disappointed.,Medium Risk
Expect to report this to the police for this mess.,High Risk
attach the file is done. Looking forward to it.,Safe
My lawyer will take legal action for this mess.,High Risk
You people are useless idiots! We intend to file a lawsuit.,High Risk
I will expose your scam for stealing my data.,High Risk
Can you reset my password? Cheers.,Safe
My refund is broken. where is my money?.,Medium Risk
The product has not arrived and I am very disappointed.,Medium Risk
My order is late. where is my money?.,Medium Risk
Appreciate the quick response! Just wanted to attach the file.,Safe
reset my password is done. Cheers.,Safe
You are thieves! I am going to expose your scam.,High Risk
This is unacceptable. contact the authorities!,High Risk
Your service stopped working and I am frustrated.,Medium Risk
send the invoice is done. Cheers.,Safe
The product is defective and I am frustrated.,Medium Risk
attach the file is done. Cheers.,Safe
update the ticket is done. Thanks.,Safe
Worst company ever! I demand to file a lawsuit.,High Risk
This is unacceptable. take legal action!,High Risk
My refund is missing. I want a refund.,Medium Risk
This is fraud. take legal action!,High Risk
This is unacceptable. take legal action!,High Risk
Your service is missing. I want a refund.,Medium Risk
Expect to report this to the police due to your gross negligence.,High Risk
Thanks for the help! Just wanted to attach the file.,Safe
We intend to expose your scam because of this fraud.,High Risk
This is unacceptable. file a lawsuit!,High Risk
My order is late. where is my money?.,Medium Risk
I would like to confirm the meeting? Looking forward to it.,Safe
This is fraud. file a lawsuit!,High Risk
reset my password is done. Cheers.,Safe
My order is late. I want a refund.,Medium Risk
Your service stopped working and I am very disappointed.,Medium Risk
confirm the meeting is done. Cheers.,Safe
My order is defective. send me a replacement.,Medium Risk
Just wanted to reset my password? Cheers.,Safe
I will file a lawsuit because of this fraud.,High Risk
Appreciate the quick response! I would like to send the invoice.,Safe
attach the file is done. Thanks.,Safe
Your service is missing please fix this.,Medium Risk
The product is broken. cancel this immediately.,Medium Risk
send the invoice is done. Looking forward to it.,Safe
Can you confirm the meeting? Best regards.,Safe
The shipment is late I am not happy.,Medium Risk
Could you send the invoice? Best regards.,Safe
The product is late I am not happy.,Medium Risk
Please update the ticket? Thanks.,Safe
This is fraud. take legal action!,High Risk
Kindly confirm the meeting? Thank you.,Safe
My order is defective and I am frustrated.,Medium Risk
You are thieves! I am going to take legal action.,High Risk
Your service is late. send me a replacement.,Medium Risk
You are thieves! I am going to file a lawsuit.,High Risk
Just wanted to attach the file? Cheers.,Safe
Your service is broken and I am very disappointed.,Medium Risk
attach the file is done. Thanks.,Safe
My order is late and I am very disappointed.,Medium Risk
The shipment is late. I want a refund.,Medium Risk
Your service is defective. where is my money?.,Medium Risk
My order stopped working I am not happy.,Medium Risk
My refund is late. cancel this immediately.,Medium Risk
We intend to report this to the police due to your gross negligence.,High Risk
Can you reset my password? Thank you.,Safe
My refund is defective. send me a replacement.,Medium Risk
schedule a call is done. Cheers.,Safe
Your service is broken please fix this.,Medium Risk
My order has not arrived which is annoying.,Medium Risk
This is fraud. contact the authorities!,High Risk
Could you confirm the meeting? Looking forward to it.,Safe
update the ticket is done. Thank you.,Safe
The shipment is missing which is annoying.,Medium Risk
This is illegal. expose your scam!,High Risk
I demand to contact the authorities for this mess.,High Risk
Appreciate the quick response! I would like to attach the file.,Safe
Appreciate the quick response! Can you update the ticket.,Safe
This is unacceptable. report this to the police!,High Risk
This is unacceptable. file a lawsuit!,High Risk
My order has not arrived. where is my money?.,Medium Risk
The shipment stopped working and I am very disappointed.,Medium Risk
reset my password is done. Thank you.,Safe
My order is broken. cancel this immediately.,Medium Risk
Great job! Can you update the ticket.,Safe
This is illegal. file a lawsuit!,High Risk
Your service is late please fix this.,Medium Risk
reset my password is done. Thank you.,Safe
Your service is late and I am very disappointed.,Medium Risk
The shipment is broken. I want a refund.,Medium Risk
This is a criminal operation! I demand to sue you.,High Risk
You are thieves! Expect to take legal action.,High Risk
We intend to report this to the police due to your gross negligence.,High Risk
Can you attach the file? Looking forward to it.,Safe
My lawyer will file a lawsuit due to your gross negligence.,High Risk
We intend to take legal action for this mess.,High Risk
schedule a call is done. Thank you.,Safe
The shipment is defective. I want a refund.,Medium Risk
You people are useless idiots! I am going to file a lawsuit.,High Risk
Thanks for the help! Kindly attach the file.,Safe
The product stopped working. cancel this immediately.,Medium Risk
Expect to file a lawsuit for this harassment.,High Risk
Kindly reset my password? Thanks.,Safe
Your service stopped working. send me a replacement.,Medium Risk
Worst company ever! My lawyer will take legal action.,High Risk
My lawyer will file a lawsuit because of this fraud.,High Risk
update the ticket is done. Thanks.,Safe
My refund has not arrived which is annoying.,Medium Risk
The product is broken. where is my money?.,Medium Risk
The product is late which is annoying.,Medium Risk
Kindly update the ticket? Cheers.,Safe
The shipment is late. I want a refund.,Medium Risk
This is unacceptable. take legal action!,High Risk
The product is defective I am not happy.,Medium Risk
You are scammers! I demand to report this to the police.,High Risk
You people are useless idiots! I demand to take legal action.,High Risk
The product is broken I am not happy.,Medium Risk
My order is defective. I want a refund.,Medium Risk
Appreciate the quick response! Just wanted to confirm the meeting.,Safe
The product is missing which is annoying.,Medium Risk
This is a criminal operation! I am going to sue you.,High Risk
The shipment has not arrived and I am very disappointed.,Medium Risk
Kindly send the invoice? Thanks.,Safe
The product is defective. cancel this immediately.,Medium Risk
The product is defective and I am frustrated.,Medium Risk
Just wanted to reset my password? Thanks.,Safe
Your service stopped working which is annoying.,Medium Risk
Service was excellent! Could you send the invoice.,Safe
Your service is late. cancel this immediately.,Medium Risk
The product stopped working. send me a replacement.,Medium Risk
Just wanted to update the ticket? Thanks.,Safe
Appreciate the quick response! Please send the invoice.,Safe
The product has not arrived. cancel this immediately.,Medium Risk
Thanks for the help! Just wanted to update the ticket.,Safe
send the invoice is done. Thank you.,Safe
My refund stopped working which is annoying.,Medium Risk
Expect to sue you due to your gross negligence.,High Risk
My order is broken and I am frustrated.,Medium Risk
send the invoice is done. Cheers.,Safe
My lawyer will report this to the police for this harassment.,High Risk
I would like to schedule a call? Thank you.,Safe
The product has not arrived. cancel this immediately.,Medium Risk
I would like to send the invoice? Looking forward to it.,Safe
Appreciate the quick response! Kindly confirm the meeting.,Safe
confirm the meeting is done. Thanks.,Safe
This is unacceptable. contact the authorities!,High Risk
The product is broken. send me a replacement.,Medium Risk
The product is missing. send me a replacement.,Medium Risk
You are scammers! I demand to contact the authorities.,High Risk
attach the file is done. Best regards.,Safe
This is fraud. sue you!,High Risk
I would like to update the ticket? Cheers.,Safe
You are thieves! Expect to report this to the police.,High Risk
Your service stopped working. I want a refund.,Medium Risk
The shipment has not arrived please fix this.,Medium Risk
The shipment is late. cancel this immediately.,Medium Risk
You people are useless idiots! I demand to report this to the police.,High Risk
My lawyer will contact the authorities for this mess.,High Risk
Your service has not arrived and I am very disappointed.,Medium Risk
This is a criminal operation! We intend to take legal action.,High Risk
Please send the invoice? Looking forward to it.,Safe
My order stopped working. I want a refund.,Medium Risk
Your service is broken. where is my money?.,Medium Risk
Appreciate the quick response! Please attach the file.,Safe
Your service is late and I am very disappointed.,Medium Risk
You are scammers! We intend to file a lawsuit.,High Risk
I demand to sue you because of this fraud.,High Risk
Could you confirm the meeting? Best regards.,Safe
Worst company ever! I will contact the authorities.,High Risk
Can you reset my password? Looking forward to it.,Safe
Could you schedule a call? Looking forward to it.,Safe
Kindly reset my password? Looking forward to it.,Safe
The product stopped working please fix this.,Medium Risk
My refund has not arrived. I want a refund.,Medium Risk
Kindly attach the file? Best regards.,Safe
Appreciate the quick response! Can you confirm the meeting.,Safe
You people are useless idiots! I am going to contact the authorities.,High Risk
My refund is missing. I want a refund.,Medium Risk
Great job! Please send the invoice.,Safe
The shipment has not arrived. send me a replacement.,Medium Risk
The shipment stopped working and I am very disappointed.,Medium Risk
Expect to sue you for this mess.,High Risk
Please reset my password? Looking forward to it.,Safe
This is fraud. take legal action!,High Risk
Thanks for the help! Please schedule a call.,Safe
Great job! Just wanted to attach the file.,Safe
This is a criminal operation! My lawyer will contact the authorities.,High Risk
This is illegal. file a lawsuit!,High Risk
The shipment is defective and I am frustrated.,Medium Risk
reset my password is done. Best regards.,Safe
My order is late. where is my money?.,Medium Risk
schedule a call is done. Thank you.,Safe
You people are useless idiots! I will sue you.,High Risk
This is illegal. expose your scam!,High Risk
This is a criminal operation! Expect to file a lawsuit.,High Risk
The shipment stopped working and I am very disappointed.,Medium Risk
send the invoice is done. Best regards.,Safe
Your service is late and I am frustrated.,Medium Risk
Appreciate the quick response! Kindly confirm the meeting.,Safe
My order is late. cancel this immediately.,Medium Risk
Thanks for the help! Could you schedule a call.,Safe
This is fraud. take legal action!,High Risk
confirm the meeting is done. Looking forward to it.,Safe
Your service stopped working and I am frustrated.,Medium Risk
update the ticket is done. Thanks.,Safe
Worst company ever! I am going to report this to the police.,High Risk
schedule a call is done. Cheers.,Safe
Thanks for the help! Please attach the file.,Safe
The shipment is missing. send me a replacement.,Medium Risk
My order is broken which is annoying.,Medium Risk
The shipment is defective please fix this.,Medium Risk
Can you send the invoice? Thanks.,Safe
This is fraud. sue you!,High Risk
My refund is defective which is annoying.,Medium Risk
update the ticket is done. Best regards.,Safe
We intend to expose your scam for this mess.,High Risk
Can you update the ticket? Best regards.,Safe
My order is defective. I want a refund.,Medium Risk
The product is missing. where is my money?.,Medium Risk
Thanks for the help! I would like to schedule a call.,Safe
I demand to file a lawsuit for this mess.,High Risk
Please schedule a call? Cheers.,Safe
This is fraud. report this to the police!,High Risk
My refund is late which is annoying.,Medium Risk
attach the file is done. Thank you.,Safe
The shipment is missing. send me a replacement.,Medium Risk
My order stopped working. where is my money?.,Medium Risk
Worst company ever! I demand to contact the authorities.,High Risk
Expect to file a lawsuit for stealing my data.,High Risk
update the ticket is done. Thank you.,Safe
This is unacceptable. contact the authorities!,High Risk
Your service is missing. where is my money?.,Medium Risk
attach the file is done. Cheers.,Safe
Your service stopped working. send me a replacement.,Medium Risk
update the ticket is done. Best regards.,Safe
The shipment has not arrived. where is my money?.,Medium Risk
My refund has not arrived which is annoying.,Medium Risk
This is fraud. report this to the police!,High Risk
Your service is missing. where is my money?.,Medium Risk
You are scammers! I will file a lawsuit.,High Risk
confirm the meeting is done. Thank you.,Safe
Please send the invoice? Thank you.,Safe
My refund is defective. send me a replacement.,Medium Risk
My refund is defective I am not happy.,Medium Risk
My order is missing I am not happy.,Medium Risk
Your service has not arrived. I want a refund.,Medium Risk
The product stopped working please fix this.,Medium Risk
I am going to take legal action for stealing my data.,High Risk
The product is broken. where is my money?.,Medium Risk
confirm the meeting is done. Looking forward to it.,Safe
My refund stopped working I am not happy.,Medium Risk
You are scammers! I will file a lawsuit.,High Risk
You are scammers! I demand to expose your scam.,High Risk
The shipment has not arrived and I am frustrated.,Medium Risk
The product is missing please fix this.,Medium Risk
Thanks for the help! Could you confirm the meeting.,Safe
update the ticket is done. Thank you.,Safe
The product is late. cancel this immediately.,Medium Risk
The product is broken please fix this.,Medium Risk
We intend to contact the authorities for this harassment.,High Risk
My order is missing. cancel this immediately.,Medium Risk
Appreciate the quick response! Could you confirm the meeting.,Safe
confirm the meeting is done. Thank you.,Safe
My refund is late I am not happy.,Medium Risk
The shipment is broken which is annoying.,Medium Risk
This is a criminal operation! I am going to report this to the police.,High Risk
schedule a call is done. Best regards.,Safe
My order is broken. where is my money?.,Medium Risk
I would like to confirm the meeting? Looking forward to it.,Safe
Kindly attach the file? Best regards.,Safe
Service was excellent! I would like to reset my password.,Safe
reset my password is done. Cheers.,Safe
You are thieves! I will sue you.,High Risk
attach the file is done. Thank you.,Safe
This is unacceptable. sue you!,High Risk
update the ticket is done. Thanks.,Safe
We intend to contact the authorities for this mess.,High Risk
Kindly update the ticket? Best regards.,Safe
My refund is missing. where is my money?.,Medium Risk
Your service is late I am not happy.,Medium Risk
The product is late and I am very disappointed.,Medium Risk
You people are useless idiots! Expect to file a lawsuit.,High Risk
Kindly schedule a call? Thanks.,Safe
The shipment is missing and I am frustrated.,Medium Risk
This is unacceptable. sue you!,High Risk
This is illegal. file a lawsuit!,High Risk
Thanks for the help! Can you schedule a call.,Safe
Great job! Could you schedule a call.,Safe
The product is broken. cancel this immediately.,Medium Risk
Thanks for the help! Please update the ticket.,Safe
I demand to report this to the police for stealing my data.,High Risk
This is fraud. file a lawsuit!,High Risk
Please send the invoice? Cheers.,Safe
The product is broken which is annoying.,Medium Risk
My refund stopped working. where is my money?.,Medium Risk
The shipment is late and I am very disappointed.,Medium Risk
This is fraud. sue you!,High Risk
attach the file is done. Cheers.,Safe
My order is late please fix this.,Medium Risk
Your service is missing which is annoying.,Medium Risk
Appreciate the quick response! Please send the invoice.,Safe
Thanks for the help! I would like to attach the file.,Safe
My order is defective please fix this.,Medium Risk
Your service is missing. send me a replacement.,Medium Risk
You are scammers! Expect to contact the authorities.,High Risk
Could you attach the file? Best regards.,Safe
The product is broken. cancel this immediately.,Medium Risk
You are scammers! I demand to expose your scam.,High Risk
You people are useless idiots! I will report this to the police.,High Risk
The product stopped working. where is my money?.,Medium Risk
The shipment has not arrived. send me a replacement.,Medium Risk
Your service stopped working I am not happy.,Medium Risk
Great job! Can you reset my password.,Safe
I will report this to the police for this mess.,High Risk
This is unacceptable. contact the authorities!,High Risk
update the ticket is done. Cheers.,Safe
You are thieves! I demand to take legal action.,High Risk
This is a criminal operation! We intend to file a lawsuit.,High Risk
Your service is late. cancel this immediately.,Medium Risk
My refund stopped working I am not happy.,Medium Risk
Thanks for the help! Just wanted to confirm the meeting.,Safe
You people are useless idiots! I am going to contact the authorities.,High Risk
My lawyer will expose your scam because of this fraud.,High Risk
This is a criminal operation! I am going to take legal action.,High Risk
My order is broken. I want a refund.,Medium Risk
Service was excellent! Please reset my password.,Safe
The product has not arrived which is annoying.,Medium Risk
This is unacceptable. report this to the police!,High Risk
Thanks for the help! Kindly reset my password.,Safe
attach the file is done. Thanks.,Safe
The product stopped working. cancel this immediately.,Medium Risk
Can you update the ticket? Thanks.,Safe
The shipment is missing. cancel this immediately.,Medium Risk
I will sue you for stealing my data.,High Risk
My refund is defective. send me a replacement.,Medium Risk
Kindly attach the file? Looking forward to it.,Safe
Kindly update the ticket? Thanks.,Safe
Service was excellent! Could you send the invoice.,Safe
My order is defective which is annoying.,Medium Risk
Could you update the ticket? Thank you.,Safe
Can you schedule a call? Best regards.,Safe
My refund has not arrived please fix this.,Medium Risk
Expect to file a lawsuit for this harassment.,High Risk
Could you reset my password? Thanks.,Safe
Please schedule a call? Cheers.,Safe
Your service is missing. send me a replacement.,Medium Risk
My refund has not arrived and I am frustrated.,Medium Risk
The product is missing please fix this.,Medium Risk
This is illegal. report this to the police!,High Risk
Expect to sue you because of this fraud.,High Risk
The shipment has not arrived and I am frustrated.,Medium Risk
This is unacceptable. expose your scam!,High Risk
schedule a call is done. Cheers.,Safe
The shipment is missing which is annoying.,Medium Risk
Your service is defective which is annoying.,Medium Risk
My order is missing. where is my money?.,Medium Risk
update the ticket is done. Looking forward to it.,Safe
My refund is broken please fix this.,Medium Risk
The product is broken and I am very disappointed.,Medium Risk
Just wanted to reset my password? Looking forward to it.,Safe
Your service has not arrived I am not happy.,Medium Risk
update the ticket is done. Looking forward to it.,Safe
Worst company ever! I demand to file a lawsuit.,High Risk
You people are useless idiots! My lawyer will report this to the police.,High Risk
Your service is late I am not happy.,Medium Risk
The shipment has not arrived. where is my money?.,Medium Risk
reset my password is done. Best regards.,Safe
Appreciate the quick response! Please reset my password.,Safe
You are scammers! I am going to contact the authorities.,High Risk
send the invoice is done. Cheers.,Safe
The shipment stopped working. I want a refund.,Medium Risk
I demand to file a lawsuit due to your gross negligence.,High Risk
Appreciate the quick response! Could you reset my password.,Safe
Can you confirm the meeting? Thank you.,Safe
Appreciate the quick response! Kindly confirm the meeting.,Safe
This is unacceptable. take legal action!,High Risk
This is unacceptable. contact the authorities!,High Risk
You are thieves! I demand to expose your scam.,High Risk
The shipment is broken. send me a replacement.,Medium Risk
I demand to take legal action due to your gross negligence.,High Risk
I demand to contact the authorities for this mess.,High Risk
confirm the meeting is done. Cheers.,Safe
This is illegal. report this to the police!,High Risk
I demand to report this to the police for stealing my data.,High Risk
Your service is missing. I want a refund.,Medium Risk
This is illegal. take legal action!,High Risk
Your service is defective. cancel this immediately.,Medium Risk
Kindly attach the file? Best regards.,Safe
My refund is broken. I want a refund.,Medium Risk
The shipment stopped working please fix this.,Medium Risk
Great job! Can you update the ticket.,Safe
Worst company ever! I will report this to the police.,High Risk
My refund stopped working which is annoying.,Medium Risk
Your service has not arrived. I want a refund.,Medium Risk
I will take legal action for stealing my data.,High Risk
My order has not arrived and I am very disappointed.,Medium Risk
This is illegal. expose your scam!,High Risk
attach the file is done. Thanks.,Safe
My refund is missing. send me a replacement.,Medium Risk
The product stopped working and I am very disappointed.,Medium Risk
Please confirm the meeting? Thanks.,Safe
The product is defective. send me a replacement.,Medium Risk
The product is missing I am not happy.,Medium Risk
My order is defective. I want a refund.,Medium Risk
My order is broken. cancel this immediately.,Medium Risk
Just wanted to update the ticket? Cheers.,Safe
The shipment is defective. cancel this immediately.,Medium Risk
This is illegal. contact the authorities!,High Risk
This is illegal. expose your scam!,High Risk
Your service has not arrived and I am frustrated.,Medium Risk
We intend to report this to the police because of this fraud.,High Risk
My order has not arrived. I want a refund.,Medium Risk
The product is missing. cancel this immediately.,Medium Risk
This is a criminal operation! I will report this to the police.,High Risk
Great job! Could you schedule a call.,Safe
Great job! Can you confirm the meeting.,Safe
Your service is broken. cancel this immediately.,Medium Risk
send the invoice is done. Cheers.,Safe
confirm the meeting is done. Best regards.,Safe
This is illegal. file a lawsuit!,High Risk
update the ticket is done. Cheers.,Safe
Thanks for the help! Could you attach the file.,Safe
Could you update the ticket? Cheers.,Safe
Your service is defective. I want a refund.,Medium Risk
Your service has not arrived which is annoying.,Medium Risk
My refund is late which is annoying.,Medium Risk
We intend to sue you for this harassment.,High Risk
My order has not arrived I am not happy.,Medium Risk
My order has not arrived. send me a replacement.,Medium Risk
The shipment is missing. where is my money?.,Medium Risk
send the invoice is done. Thanks.,Safe
send the invoice is done. Best regards.,Safe
The shipment stopped working please fix this.,Medium Risk
My refund is missing. I want a refund.,Medium Risk
My order has not arrived I am not happy.,Medium Risk
I am going to expose your scam for stealing my data.,High Risk
attach the file is done. Looking forward to it.,Safe
This is fraud. file a lawsuit!,High Risk
attach the file is done. Cheers.,Safe
update the ticket is done. Looking forward to it.,Safe
This is unacceptable. sue you!,High Risk
Could you confirm the meeting? Thank you.,Safe
I will report this to the police due to your gross negligence.,High Risk
This is illegal. contact the authorities!,High Risk
Your service is broken. where is my money?.,Medium Risk
I demand to report this to the police because of this fraud.,High Risk
You are thieves! My lawyer will expose your scam.,High Risk
attach the file is done. Thank you.,Safe
This is illegal. contact the authorities!,High Risk
reset my password is done. Thanks.,Safe
The shipment is defective and I am very disappointed.,Medium Risk
My order stopped working which is annoying.,Medium Risk
I would like to reset my password? Best regards.,Safe
The product stopped working please fix this.,Medium Risk
Worst company ever! I am going to expose your scam.,High Risk
Your service is missing. send me a replacement.,Medium Risk
My order stopped working and I am very disappointed.,Medium Risk
The product is broken. send me a replacement.,Medium Risk
This is a criminal operation! My lawyer will contact the authorities.,High Risk
The product is defective I am not happy.,Medium Risk
I am going to sue you for this mess.,High Risk
The product is broken which is annoying.,Medium Risk
confirm the meeting is done. Thanks.,Safe
Appreciate the quick response! Can you send the invoice.,Safe
We intend to report this to the police for this mess.,High Risk
The product is defective and I am very disappointed.,Medium Risk
Worst company ever! We intend to expose your scam.,High Risk
This is illegal. sue you!,High Risk
Just wanted to schedule a call? Thank you.,Safe
Great job! Could you reset my password.,Safe
send the invoice is done. Looking forward to it.,Safe
This is illegal. take legal action!,High Risk
Thanks for the help! Kindly send the invoice.,Safe
Appreciate the quick response! Kindly attach the file.,Safe
The shipment stopped working and I am very disappointed.,Medium Risk
Expect to expose your scam for this harassment.,High Risk
Can you attach the file? Looking forward to it.,Safe
This is unacceptable. sue you!,High Risk
This is illegal. expose your scam!,High Risk
Appreciate the quick response! I would like to update the ticket.,Safe
send the invoice is done. Thanks.,Safe
Your service is late and I am frustrated.,Medium Risk
My order is broken and I am frustrated.,Medium Risk
Service was excellent! Please update the ticket.,Safe
You are scammers! Expect to report this to the police.,High Risk
I would like to send the invoice? Looking forward to it.,Safe
I would like to send the invoice? Looking forward to it.,Safe
confirm the meeting is done. Best regards.,Safe
You are thieves! We intend to sue you.,High Risk
My order has not arrived. cancel this immediately.,Medium Risk
The shipment is missing I am not happy.,Medium Risk
The shipment is broken. send me a replacement.,Medium Risk
Great job! Kindly update the ticket.,Safe
Your service has not arrived. where is my money?.,Medium Risk
This is illegal. file a lawsuit!,High Risk
You people are useless idiots! I am going to expose your scam.,High Risk
This is a criminal operation! I am going to file a lawsuit.,High Risk
Thanks for the help! Just wanted to attach the file.,Safe
You people are useless idiots! I will sue you.,High Risk
My order is missing. where is my money?.,Medium Risk
send the invoice is done. Thanks.,Safe
send the invoice is done. Best regards.,Safe
schedule a call is done. Thanks.,Safe
The shipment stopped working. cancel this immediately.,Medium Risk
My refund has not arrived. cancel this immediately.,Medium Risk
I demand to file a lawsuit for this harassment.,High Risk
The product has not arrived which is annoying.,Medium Risk
This is unacceptable. file a lawsuit!,High Risk
Your service is late. send me a replacement.,Medium Risk
My refund stopped working. I want a refund.,Medium Risk
I will sue you due to your gross negligence.,High Risk
Great job! Please attach the file.,Safe
My lawyer will expose your scam because of this fraud.,High Risk
My lawyer will file a lawsuit because of this fraud.,High Risk
This is illegal. report this to the police!,High Risk
You people are useless idiots! We intend to report this to the police.,High Risk
The product has not arrived. cancel this immediately.,Medium Risk
Could you attach the file? Cheers.,Safe
Your service is late I am not happy.,Medium Risk
I will sue you because of this fraud.,High Risk
Your service is defective and I am frustrated.,Medium Risk
update the ticket is done. Thanks.,Safe
My lawyer will expose your scam because of this fraud.,High Risk
The shipment is missing please fix this.,Medium Risk
You are thieves! Expect to file a lawsuit.,High Risk
Could you reset my password? Thanks.,Safe
My order is defective and I am frustrated.,Medium Risk
The shipment is missing please fix this.,Medium Risk
This is illegal. expose your scam!,High Risk
My refund is broken. cancel this immediately.,Medium Risk
This is fraud. expose your scam!,High Risk
Kindly attach the file? Cheers.,Safe
Worst company ever! I demand to expose your scam.,High Risk
My order is defective. cancel this immediately.,Medium Risk
reset my password is done. Thank you.,Safe
update the ticket is done. Best regards.,Safe
My lawyer will file a lawsuit for this harassment.,High Risk
send the invoice is done. Looking forward to it.,Safe
We intend to report this to the police for stealing my data.,High Risk
Kindly schedule a call? Looking forward to it.,Safe
Appreciate the quick response! Can you schedule a call.,Safe
You are thieves! I am going to sue you.,High Risk
My order is broken. cancel this immediately.,Medium Risk
Appreciate the quick response! I would like to schedule a call.,Safe
attach the file is done. Thanks.,Safe
Thanks for the help! Kindly schedule a call.,Safe
This is illegal. take legal action!,High Risk
Could you attach the file? Looking forward to it.,Safe
send the invoice is done. Thank you.,Safe
Your service is broken. I want a refund.,Medium Risk
schedule a call is done. Thanks.,Safe
The product has not arrived and I am frustrated.,Medium Risk
We intend to report this to the police for this harassment.,High Risk
schedule a call is done. Best regards.,Safe
This is fraud. contact the authorities!,High Risk
My refund is defective which is annoying.,Medium Risk
My refund has not arrived. cancel this immediately.,Medium Risk
My lawyer will sue you for stealing my data.,High Risk
My lawyer will report this to the police because of this fraud.,High Risk
Service was excellent! Kindly confirm the meeting.,Safe
This is fraud. file a lawsuit!,High Risk
You people are useless idiots! I am going to report this to the police.,High Risk
Could you reset my password? Best regards.,Safe
Your service stopped working. cancel this immediately.,Medium Risk
Your service is defective. cancel this immediately.,Medium Risk
Expect to contact the authorities for stealing my data.,High Risk
I demand to take legal action for this mess.,High Risk
My order stopped working which is annoying.,Medium Risk
The product is missing. cancel this immediately.,Medium Risk
Worst company ever! My lawyer will take legal action.,High Risk
schedule a call is done. Best regards.,Safe
Thanks for the help! Could you reset my password.,Safe
send the invoice is done. Thanks.,Safe
I demand to sue you for this harassment.,High Risk
I demand to expose your scam due to your gross negligence.,High Risk
Please confirm the meeting? Looking forward to it.,Safe
The product is late and I am frustrated.,Medium Risk
Great job! I would like to confirm the meeting.,Safe
Just wanted to send the invoice? Thank you.,Safe
reset my password is done. Thanks.,Safe
schedule a call is done. Looking forward to it.,Safe
Your service is defective please fix this.,Medium Risk
Thanks for the help! Please send the invoice.,Safe
My refund is missing which is annoying.,Medium Risk
I would like to confirm the meeting? Best regards.,Safe
Appreciate the quick response! Please confirm the meeting.,Safe
Expect to file a lawsuit for this mess.,High Risk
This is unacceptable. contact the authorities!,High Risk
attach the file is done. Thank you.,Safe
The shipment has not arrived and I am frustrated.,Medium Risk
My order is broken and I am very disappointed.,Medium Risk
I would like to attach the file? Cheers.,Safe
This is fraud. expose your scam!,High Risk
Can you update the ticket? Cheers.,Safe
You are scammers! I will file a lawsuit.,High Risk
Service was excellent! Please schedule a call.,Safe
